cluster_id	amp	ch	depth	fr	group	n_spikes	purity	sh
0	12.98863888	0	0.00000000	1.06253298	noise	8054	0.97155300	0.00000000
1	13.85258770	44	600.00000000	0.29182058	noise	2212	0.98982800	0.00000000
2	17.30764198	1	150.00000000	0.01147757	noise	87	0.56389300	0.00000000
3	14.01399231	1	150.00000000	0.05804749	noise	440	0.63107100	0.00000000
4	12.87775993	1	150.00000000	0.13034301	noise	988	0.65052700	0.00000000
5	13.30355644	2	300.00000000	0.01174142	noise	89	0.62759000	0.00000000
6	13.18113518	2	300.00000000	0.16477573	noise	1249	0.46099800	0.00000000
7	13.17075348	2	300.00000000	0.01187335	noise	90	0.53606300	0.00000000
8	14.04026318	24	0.00000000	0.04472296	noise	339	0.34166300	0.00000000
9	12.36048508	24	0.00000000	0.06147757	noise	466	0.79232000	0.00000000
10	13.84556293	3	450.00000000	0.00751979	noise	57	0.71229200	0.00000000
11	12.24458885	25	150.00000000	0.19894459	noise	1508	0.97615400	0.00000000
13	19.49512100	5	750.00000000	1.94920844	good	14775	0.59390800	0.00000000
14	13.96944332	50	300.00000000	0.29248021	noise	2217	0.98970800	0.00000000
15	26.95776749	7	1050.00000000	0.01002639	noise	76	0.99144000	0.00000000
16	31.18224716	29	750.00000000	0.02559367	good	194	0.99691600	0.00000000
17	16.01868820	51	450.00000000	0.02255937	noise	171	0.99257400	0.00000000
18	37.06082916	9	150.00000000	0.00936675	noise	71	0.75820200	0.00000000
19	13.10663700	10	300.00000000	0.02823219	noise	214	0.63659300	0.00000000
20	13.25408649	10	300.00000000	0.01029024	noise	78	0.36697100	0.00000000
21	12.62051582	10	300.00000000	0.03021108	noise	229	0.64282000	0.00000000
22	14.57889271	11	450.00000000	0.02163588	noise	164	0.37232600	0.00000000
23	12.83234215	11	450.00000000	0.10237467	noise	776	0.64803300	0.00000000
24	15.46756363	11	450.00000000	0.00540897	noise	41	0.46236500	0.00000000
25	12.86513519	12	600.00000000	0.07058047	noise	535	0.64518100	0.00000000
26	14.86064816	13	750.00000000	0.01464380	noise	111	0.35651200	0.00000000
27	14.28737831	13	750.00000000	0.00316623	noise	24	0.47107800	0.00000000
28	13.86249638	13	750.00000000	0.01437995	noise	109	0.45942100	0.00000000
29	13.19180202	13	750.00000000	0.09564644	noise	725	0.59091100	0.00000000
30	14.46669483	13	750.00000000	0.04274406	noise	324	0.34814600	0.00000000
31	13.80764389	58	300.00000000	0.27638522	noise	2095	0.99177600	0.00000000
32	31.59111404	15	1050.00000000	0.14168865	good	1074	0.97799900	0.00000000
33	13.92397499	19	450.00000000	0.01556728	noise	118	0.73055300	0.00000000
34	12.87001514	20	600.00000000	1.79749340	good	13625	0.93922800	0.00000000
35	13.99053001	21	750.00000000	0.03298153	noise	250	0.51219800	0.00000000
